iter	Passed	Remaining
0	9	9881
1	18	9152
2	27	8988
3	37	9283
4	45	9082
5	56	9301
6	60	8649
7	70	8718
8	73	8117
9	81	8089
10	85	7676
11	88	7256
12	95	7272
13	104	7330
14	108	7157
15	113	6964
16	122	7062
17	146	7987
18	150	7763
19	156	7646
20	159	7433
21	165	7359
22	173	7382
23	178	7239
24	184	7211
25	190	7153
26	195	7055
27	202	7020
28	206	6915
29	212	6865
30	218	6822
31	227	6894
32	234	6868
33	241	6849
34	247	6823
35	253	6788
36	260	6773
37	267	6774
38	270	6676
39	279	6710
40	284	6648
41	289	6593
42	294	6558
43	298	6482
44	303	6435
45	309	6416
46	314	6380
47	319	6343
48	326	6333
49	331	6291
50	335	6250
51	341	6221
52	346	6183
53	349	6124
54	354	6094
55	373	6301
56	386	6390
57	398	6465
58	405	6467
59	410	6433
60	421	6494
61	429	6497
62	439	6533
63	447	6545
64	456	6559
65	462	6550
66	469	6534
67	475	6511
68	483	6521
69	494	6567
70	503	6582
71	506	6528
72	512	6511
73	523	6553
74	529	6536
75	537	6530
76	548	6577
77	558	6595
78	567	6616
79	570	6565
80	578	6568
81	584	6541
82	590	6529
83	598	6525
84	607	6538
85	615	6542
86	619	6497
87	626	6489
88	629	6439
89	635	6422
90	641	6412
91	646	6381
92	653	6373
93	660	6367
94	668	6367
95	675	6363
96	680	6333
97	687	6326
98	696	6338
99	702	6325
100	707	6294
101	714	6292
102	719	6261
103	728	6273
104	735	6267
105	738	6229
106	746	6232
107	754	6228
108	761	6227
109	772	6248
110	778	6234
111	785	6225
112	789	6193
113	796	6187
114	800	6158
115	807	6156
116	813	6143
117	821	6142
118	826	6118
119	833	6111
120	838	6088
121	843	6069
122	848	6050
123	854	6033
124	858	6010
125	863	5989
126	867	5960
127	872	5943
128	876	5920
129	882	5906
130	888	5890
131	892	5871
132	897	5848
133	903	5836
134	907	5812
135	910	5785
136	915	5768
137	919	5743
138	924	5726
139	932	5728
140	937	5712
141	943	5700
142	954	5720
143	960	5708
144	965	5692
145	970	5676
146	976	5664
147	980	5641
148	985	5626
149	989	5608
150	995	5594
151	1000	5581
152	1007	5575
153	1012	5564
154	1015	5537
155	1023	5536
156	1028	5520
157	1032	5504
158	1038	5491
159	1040	5463
160	1043	5437
161	1047	5420
162	1051	5399
163	1057	5392
164	1062	5376
165	1067	5363
166	1070	5340
167	1075	5327
168	1080	5314
169	1087	5310
170	1092	5296
171	1095	5271
172	1101	5265
173	1106	5253
174	1112	5244
175	1119	5239
176	1123	5223
177	1128	5213
178	1135	5205
179	1140	5195
180	1145	5184
181	1150	5170
182	1154	5155
183	1159	5140
184	1162	5121
185	1166	5105
186	1173	5099
187	1178	5088
188	1183	5076
189	1190	5073
190	1195	5062
191	1197	5041
192	1202	5028
193	1207	5017
194	1212	5003
195	1216	4988
196	1219	4971
197	1224	4960
198	1229	4949
199	1234	4937
200	1239	4925
201	1243	4913
202	1249	4905
203	1254	4893
204	1260	4886
205	1266	4882
206	1270	4866
207	1274	4852
208	1280	4847
209	1284	4832
210	1291	4828
211	1295	4816
212	1301	4807
213	1304	4792
214	1309	4782
215	1313	4767
216	1317	4752
217	1323	4746
218	1329	4739
219	1333	4728
220	1342	4733
221	1349	4729
222	1353	4715
223	1358	4704
224	1362	4693
225	1366	4679
226	1371	4668
227	1378	4667
228	1384	4660
229	1390	4655
230	1396	4647
231	1402	4641
232	1408	4635
233	1413	4627
234	1422	4631
235	1428	4624
236	1434	4618
237	1443	4621
238	1450	4618
239	1456	4611
240	1461	4603
241	1469	4602
242	1472	4588
243	1481	4590
244	1488	4587
245	1494	4581
246	1499	4571
247	1503	4558
248	1508	4550
249	1518	4554
250	1524	4550
251	1531	4544
252	1536	4537
253	1542	4530
254	1548	4524
255	1553	4516
256	1559	4507
257	1562	4494
258	1570	4492
259	1574	4480
260	1580	4475
261	1588	4475
262	1596	4474
263	1603	4469
264	1609	4465
265	1615	4458
266	1621	4452
267	1627	4445
268	1633	4438
269	1640	4435
270	1646	4428
271	1651	4420
272	1658	4417
273	1664	4409
274	1671	4406
275	1678	4402
276	1684	4396
277	1691	4394
278	1697	4387
279	1704	4381
280	1709	4374
281	1715	4366
282	1721	4361
283	1727	4354
284	1732	4346
285	1738	4339
286	1747	4342
287	1752	4331
288	1757	4324
289	1763	4317
290	1768	4307
291	1773	4301
292	1782	4300
293	1787	4292
294	1793	4286
295	1801	4283
296	1806	4276
297	1810	4265
298	1817	4261
299	1820	4247
300	1826	4240
301	1833	4237
302	1839	4231
303	1846	4227
304	1851	4219
305	1857	4213
306	1861	4201
307	1865	4190
308	1871	4185
309	1878	4180
310	1884	4175
311	1890	4169
312	1897	4164
313	1901	4153
314	1904	4140
315	1910	4134
316	1916	4129
317	1922	4123
318	1928	4116
319	1935	4113
320	1941	4107
321	1950	4107
322	1957	4103
323	1961	4093
324	1966	4084
325	1974	4081
326	1980	4076
327	1988	4073
328	1994	4067
329	1998	4058
330	2002	4047
331	2009	4043
332	2015	4037
333	2020	4028
334	2027	4024
335	2032	4015
336	2039	4011
337	2045	4006
338	2053	4003
339	2061	4001
340	2068	3997
341	2074	3991
342	2080	3985
343	2083	3972
344	2090	3968
345	2094	3958
346	2100	3952
347	2105	3945
348	2111	3938
349	2119	3935
350	2126	3931
351	2133	3927
352	2150	3941
353	2157	3936
354	2163	3931
355	2169	3923
356	2175	3917
357	2182	3913
358	2185	3902
359	2191	3895
360	2195	3886
361	2200	3878
362	2207	3873
363	2212	3865
364	2217	3857
365	2221	3848
366	2227	3841
367	2232	3833
368	2237	3826
369	2242	3817
370	2247	3810
371	2250	3799
372	2255	3791
373	2261	3784
374	2265	3776
375	2269	3766
376	2275	3760
377	2280	3753
378	2286	3745
379	2291	3738
380	2295	3729
381	2300	3720
382	2304	3711
383	2308	3703
384	2312	3694
385	2317	3686
386	2321	3677
387	2326	3669
388	2332	3663
389	2337	3656
390	2342	3649
391	2345	3637
392	2350	3630
393	2355	3623
394	2360	3615
395	2365	3607
396	2370	3599
397	2374	3592
398	2379	3584
399	2383	3575
400	2390	3570
401	2394	3562
402	2398	3553
403	2404	3547
404	2408	3538
405	2413	3530
406	2418	3523
407	2422	3515
408	2426	3506
409	2431	3498
410	2438	3494
411	2443	3487
412	2449	3481
413	2454	3473
414	2458	3465
415	2463	3458
416	2467	3450
417	2470	3439
418	2475	3432
419	2481	3426
420	2486	3420
421	2491	3412
422	2496	3405
423	2500	3396
424	2504	3388
425	2509	3380
426	2513	3372
427	2518	3365
428	2524	3360
429	2529	3353
430	2535	3346
431	2545	3346
432	2549	3338
433	2554	3330
434	2557	3321
435	2562	3314
436	2566	3306
437	2571	3299
438	2577	3294
439	2582	3286
440	2587	3280
441	2593	3274
442	2597	3266
443	2602	3258
444	2607	3252
445	2612	3244
446	2617	3237
447	2622	3231
448	2627	3224
449	2631	3216
450	2636	3209
451	2639	3200
452	2644	3193
453	2648	3185
454	2653	3178
455	2658	3171
456	2662	3163
457	2667	3156
458	2672	3149
459	2676	3142
460	2681	3134
461	2685	3127
462	2691	3121
463	2695	3113
464	2699	3106
465	2704	3098
466	2708	3091
467	2714	3086
468	2718	3078
469	2723	3071
470	2727	3063
471	2732	3057
472	2744	3058
473	2753	3055
474	2759	3049
475	2769	3048
476	2775	3043
477	2781	3037
478	2793	3038
479	2801	3034
480	2807	3029
481	2816	3026
482	2822	3021
483	2825	3012
484	2832	3008
485	2839	3003
486	2846	2998
487	2852	2992
488	2855	2984
489	2860	2977
490	2865	2970
491	2869	2962
492	2875	2956
493	2880	2950
494	2885	2944
495	2889	2936
496	2893	2928
497	2898	2922
498	2902	2914
499	2911	2911
500	2918	2907
501	2926	2903
502	2933	2898
503	2940	2894
504	2947	2889
505	2954	2884
506	2960	2878
507	2964	2870
508	2969	2864
509	2974	2857
510	2979	2851
511	2984	2844
512	2990	2838
513	2995	2832
514	3002	2827
515	3009	2823
516	3018	2819
517	3025	2815
518	3036	2813
519	3042	2808
520	3050	2804
521	3056	2798
522	3062	2793
523	3065	2784
524	3072	2779
525	3078	2774
526	3085	2769
527	3091	2763
528	3098	2759
529	3102	2751
530	3107	2744
531	3111	2737
532	3119	2733
533	3126	2728
534	3131	2721
535	3135	2714
536	3139	2706
537	3143	2699
538	3147	2692
539	3153	2686
540	3157	2678
541	3161	2671
542	3165	2664
543	3170	2657
544	3175	2651
545	3180	2644
546	3185	2637
547	3189	2630
548	3196	2626
549	3201	2619
550	3205	2612
551	3210	2605
552	3214	2598
553	3218	2591
554	3224	2585
555	3228	2577
556	3232	2570
557	3236	2563
558	3240	2556
559	3245	2549
560	3249	2542
561	3253	2535
562	3258	2529
563	3263	2522
564	3269	2517
565	3274	2510
566	3278	2504
567	3282	2496
568	3287	2489
569	3299	2488
570	3305	2483
571	3311	2477
572	3316	2471
573	3321	2465
574	3326	2458
575	3331	2452
576	3340	2448
577	3345	2442
578	3352	2437
579	3359	2432
580	3365	2427
581	3372	2422
582	3378	2416
583	3385	2411
584	3390	2405
585	3394	2398
586	3400	2392
587	3405	2386
588	3410	2379
589	3415	2373
590	3420	2367
591	3425	2360
592	3429	2353
593	3434	2347
594	3440	2341
595	3445	2335
596	3452	2330
597	3458	2324
598	3461	2317
599	3465	2310
600	3470	2304
601	3475	2297
602	3480	2291
603	3485	2285
604	3490	2279
605	3496	2273
606	3502	2267
607	3505	2260
608	3517	2258
609	3520	2250
610	3526	2245
611	3531	2239
612	3538	2233
613	3543	2227
614	3551	2223
615	3556	2217
616	3562	2211
617	3567	2205
618	3573	2199
619	3579	2193
620	3584	2187
621	3590	2182
622	3596	2176
623	3602	2170
624	3608	2165
625	3613	2159
626	3618	2152
627	3623	2146
628	3629	2140
629	3634	2134
630	3639	2128
631	3645	2122
632	3650	2116
633	3655	2110
634	3660	2104
635	3667	2098
636	3672	2092
637	3678	2087
638	3683	2081
639	3688	2075
640	3693	2068
641	3701	2064
642	3711	2060
643	3717	2054
644	3724	2049
645	3731	2045
646	3737	2039
647	3742	2033
648	3748	2027
649	3754	2021
650	3759	2015
651	3768	2011
652	3774	2005
653	3782	2000
654	3788	1995
655	3794	1989
656	3800	1983
657	3805	1977
658	3813	1973
659	3819	1967
660	3825	1961
661	3830	1955
662	3836	1949
663	3842	1944
664	3845	1937
665	3853	1932
666	3859	1926
667	3864	1920
668	3869	1914
669	3875	1908
670	3881	1903
671	3885	1896
672	3890	1890
673	3895	1884
674	3901	1878
675	3906	1872
676	3911	1866
677	3916	1859
678	3921	1854
679	3927	1848
